Target gene	Representative transcript	Gene name	3P-seq tags + 5	Conserved sites total	Conserved 8mer sites	Conserved 7mer-m8 sites	Conserved 7mer-A1 sites	Poorly conserved sites total	Poorly conserved 8mer sites	Poorly conserved 7mer-m8 sites	Poorly conserved 7mer-A1 sites	6mer sites	Representative miRNA	Predicted occupancy (low miRNA)	Predicted occupancy (high miRNA)	Predicted occupancy (transfected miRNA)	Cumulative weighted context++ score	Total context++ score	Aggregate PCT	Previous TargetScan publication(s)
CLCN6	ENST00000312413.6	chloride channel, voltage-sensitive 6 	227	1	0	1	0	2	1	0	1	0	hsa-miR-148a-3p	0.1363	0.7096	1.9347	-0.73	-0.73	0.80	2009, 2011
CDK5R1	ENST00000313401.3	cyclin-dependent kinase 5, regulatory subunit 1 (p35) 	335	2	1	1	0	0	0	0	0	0	hsa-miR-148a-3p	0.0666	0.3954	1.3239	-0.73	-0.73	0.93	2005, 2007, 2009, 2011
HOMER1	ENST00000508576.1	homer homolog 1 (Drosophila) 	394	2	1	1	0	0	0	0	0	0	hsa-miR-148a-3p	0.1147	0.5808	1.4216	-0.70	-0.71	0.79	2011
TMEM54	ENST00000373463.3	transmembrane protein 54 	35	1	1	0	0	0	0	0	0	0	hsa-miR-152-3p	0.1826	0.6259	0.9535	-0.70	-0.70	0.83	2009, 2011
C18orf25	ENST00000282059.6	chromosome 18 open reading frame 25 	688	2	0	2	0	1	0	1	0	1	hsa-miR-148b-3p	0.1038	0.6324	2.2183	-0.70	-0.71	0.92	2005, 2007, 2009, 2011
SOS2	ENST00000216373.5	son of sevenless homolog 2 (Drosophila) 	70	2	1	1	0	0	0	0	0	1	hsa-miR-148a-3p	0.1515	0.7101	1.7517	-0.70	-0.70	0.89	2009, 2011
HLA-DQB2	ENST00000435145.2	major histocompatibility complex, class II, DQ beta 2 	5	2	2	0	0	1	0	1	0	1	hsa-miR-148a-3p	0.0565	0.3760	1.6741	-0.68	-0.68	< 0.1	2011
S1PR1	ENST00000305352.6	sphingosine-1-phosphate receptor 1 	251	2	1	1	0	0	0	0	0	0	hsa-miR-148b-3p	0.1653	0.7188	1.5599	-0.68	-0.68	0.94	2005, 2007, 2009, 2011
QKI	ENST00000392127.2	QKI, KH domain containing, RNA binding 	323	4	3	0	1	0	0	0	0	1	hsa-miR-148a-3p	0.2827	1.1900	2.5393	-0.67	-1.13	> 0.99	2005, 2007, 2009, 2011
INO80	ENST00000361937.3	INO80 complex subunit 	279	2	1	1	0	0	0	0	0	0	hsa-miR-148a-3p	0.1765	0.8242	1.9748	-0.67	-0.67	0.99	2007, 2009, 2011
RTN4	ENST00000394609.2	reticulon 4 	34030	1	0	1	0	1	0	1	0	1	hsa-miR-148a-3p	0.0465	0.3063	1.2928	-0.66	-0.66	0.36	NULL
CCT6A	ENST00000275603.4	chaperonin containing TCP1, subunit 6A (zeta 1) 	1983	1	1	0	0	0	0	0	0	0	hsa-miR-148a-3p	0.1318	0.5441	1.0521	-0.66	-0.67	0.87	2009, 2011
B4GALT5	ENST00000371711.4	UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 5 	1000	2	1	1	0	1	0	1	0	1	hsa-miR-148a-3p	0.1790	0.7703	1.9331	-0.66	-0.66	0.95	2005, 2007, 2009, 2011
TMED7	ENST00000456936.3	transmembrane emp24 protein transport domain containing 7 	1571	2	1	1	0	1	0	0	1	3	hsa-miR-148b-3p	0.1496	0.7404	1.7596	-0.65	-1.05	0.97	2003, 2005, 2007, 2009, 2011
DCP2	ENST00000389063.2	decapping mRNA 2 	155	4	0	3	1	1	0	1	0	0	hsa-miR-148b-3p	0.1418	0.8238	2.6433	-0.65	-0.75	> 0.99	2007, 2009, 2011
MXD1	ENST00000264444.2	MAX dimerization protein 1 	183	2	1	1	0	1	0	1	0	2	hsa-miR-148a-3p	0.1774	0.7241	1.7061	-0.65	-0.91	0.94	2009, 2011
RAB34	ENST00000447716.1	RAB34, member RAS oncogene family 	880	1	1	0	0	0	0	0	0	1	hsa-miR-148a-3p	0.0374	0.2278	0.7651	-0.65	-0.65	0.38	2005, 2007, 2009, 2011
ITGA9	ENST00000264741.5	integrin, alpha 9 	9	2	0	1	1	3	0	1	2	1	hsa-miR-148a-3p	0.1284	0.7641	2.6883	-0.64	-0.64	0.98	2007, 2009, 2011
PRNP	ENST00000379440.4	prion protein 	1136	1	1	0	0	1	0	0	1	1	hsa-miR-148a-3p	0.0949	0.5012	1.4257	-0.64	-0.64	0.61	2009, 2011
SZRD1	ENST00000401089.3	SUZ RNA binding domain containing 1 	137	3	0	3	0	1	0	1	0	0	hsa-miR-148a-3p	0.0693	0.4295	1.5391	-0.64	-0.74	0.84	2007, 2009, 2011
USP6	ENST00000332776.4	ubiquitin specific peptidase 6 (Tre-2 oncogene) 	5	1	1	0	0	2	0	1	1	0	hsa-miR-148a-3p	0.1579	0.7494	2.0314	-0.63	-0.63	0.85	2005, 2007, 2009, 2011
DDX6	ENST00000264018.4	DEAD (Asp-Glu-Ala-Asp) box helicase 6 	11	1	0	1	0	1	0	1	0	1	hsa-miR-152-3p	0.1032	0.6081	2.0821	-0.63	-0.75	0.54	2007, 2009, 2011
MMD	ENST00000262065.3	monocyte to macrophage differentiation-associated 	558	1	1	0	0	0	0	0	0	0	hsa-miR-148a-3p	0.1277	0.5196	0.8888	-0.63	-0.63	0.78	2005, 2007, 2009, 2011
MRAS	ENST00000289104.4	muscle RAS oncogene homolog 	181	1	1	0	0	2	0	0	2	0	hsa-miR-148a-3p	0.1840	0.6500	1.0991	-0.62	-0.83	0.84	2009, 2011
ELF5	ENST00000257832.2	E74-like factor 5 (ets domain transcription factor) 	5	2	1	0	1	0	0	0	0	0	hsa-miR-152-3p	0.1551	0.6990	1.5129	-0.61	-0.61	0.86	2005, 2007, 2009, 2011
BARHL2	ENST00000370445.4	BarH-like homeobox 2 	13	1	1	0	0	0	0	0	0	1	hsa-miR-148a-3p	0.1276	0.5270	0.9651	-0.61	-0.61	0.83	NULL
OTX2	ENST00000339475.5	orthodenticle homeobox 2 	5	1	1	0	0	1	0	0	1	0	hsa-miR-148a-3p	0.1001	0.5262	1.5529	-0.61	-0.61	0.86	2005, 2007, 2009, 2011
ZDHHC7	ENST00000313732.4	zinc finger, DHHC-type containing 7 	4068	2	2	0	0	0	0	0	0	0	hsa-miR-148a-3p	0.1328	0.6715	1.5722	-0.60	-0.60	0.59	2005, 2007, 2009, 2011
PNRC2	ENST00000334351.7	proline-rich nuclear receptor coactivator 2 	100	2	0	2	0	0	0	0	0	1	hsa-miR-148b-3p	0.0630	0.3863	1.3388	-0.60	-0.60	0.58	2011
CCDC144A	ENST00000443444.2	coiled-coil domain containing 144A 	5	1	1	0	0	2	0	0	2	0	hsa-miR-148a-3p	0.1827	0.8645	2.2219	-0.60	-0.60	0.93	NULL
PIGA	ENST00000542278.1	phosphatidylinositol glycan anchor biosynthesis, class A 	104	1	0	1	0	1	1	0	0	0	hsa-miR-152-3p	0.1154	0.5857	1.5745	-0.60	-0.61	0.29	2011
MAFB	ENST00000373313.2	v-maf avian musculoaponeurotic fibrosarcoma oncogene homolog B 	333	1	1	0	0	2	1	1	0	0	hsa-miR-148a-3p	0.1650	0.7562	1.8218	-0.60	-0.64	0.86	2005, 2007, 2009, 2011
ST8SIA3	ENST00000324000.3	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 3 	5	1	0	1	0	2	0	0	2	4	hsa-miR-152-3p	0.0988	0.6614	3.1435	-0.59	-0.59	0.43	2005, 2007, 2011
WDR47	ENST00000400794.3	WD repeat domain 47 	185	2	0	2	0	0	0	0	0	0	hsa-miR-152-3p	0.1061	0.5793	1.5933	-0.59	-0.59	0.66	2009, 2011
TGFA	ENST00000295400.6	transforming growth factor, alpha 	36	1	1	0	0	0	0	0	0	1	hsa-miR-148a-3p	0.1805	0.6361	1.0612	-0.58	-0.58	0.90	2005, 2007, 2009, 2011
STX3	ENST00000535361.1	syntaxin 3 	564	1	1	0	0	0	0	0	0	2	hsa-miR-148a-3p	0.0717	0.4011	1.2243	-0.58	-0.64	0.72	2007, 2009, 2011
RNF219	ENST00000282003.6	ring finger protein 219 	680	1	1	0	0	0	0	0	0	1	hsa-miR-152-3p	0.1070	0.5017	1.1456	-0.57	-0.57	0.88	2009, 2011
WDR20	ENST00000335263.5	WD repeat domain 20 	288	1	1	0	0	0	0	0	0	0	hsa-miR-148a-3p	0.1063	0.4915	1.1063	-0.57	-0.57	0.69	2005, 2007, 2009, 2011
SNX3	ENST00000230085.8	sorting nexin 3 	1843	1	1	0	0	0	0	0	0	0	hsa-miR-148a-3p	0.0601	0.3191	0.7652	-0.57	-0.58	< 0.1	NULL
PTPRA	ENST00000216877.6	protein tyrosine phosphatase, receptor type, A 	7517	1	0	0	1	1	0	1	0	0	hsa-miR-148b-3p	0.0712	0.4346	1.5064	-0.57	-0.58	0.64	NULL
TNRC6A	ENST00000395799.3	trinucleotide repeat containing 6A 	267	2	1	0	1	0	0	0	0	0	hsa-miR-148a-3p	0.2647	0.9552	1.8637	-0.56	-0.56	0.93	2005, 2007, 2009, 2011
AGO4	ENST00000373210.3	argonaute RISC catalytic component 4 	96	1	1	0	0	1	0	1	0	3	hsa-miR-152-3p	0.2165	1.0212	2.5813	-0.56	-0.57	0.67	2005, 2007, 2009, 2011
C15orf27	ENST00000388942.3	chromosome 15 open reading frame 27 	17	1	1	0	0	0	0	0	0	1	hsa-miR-148a-3p	0.0594	0.3314	0.9484	-0.56	-0.56	0.27	2005, 2007, 2009, 2011
UBAP2L	ENST00000343815.6	ubiquitin associated protein 2-like 	3367	1	1	0	0	0	0	0	0	0	hsa-miR-148a-3p	0.0780	0.3865	0.8464	-0.56	-0.56	0.43	2011
LYSMD2	ENST00000267838.3	LysM, putative peptidoglycan-binding, domain containing 2 	307	1	1	0	0	0	0	0	0	0	hsa-miR-148a-3p	0.1091	0.4762	0.8826	-0.55	-0.55	0.74	2009, 2011
EOGT	ENST00000383701.3	EGF domain-specific O-linked N-acetylglucosamine (GlcNAc) transferase 	302	1	1	0	0	0	0	0	0	0	hsa-miR-148a-3p	0.1518	0.6275	1.3710	-0.55	-0.59	0.86	2009, 2011
MMP15	ENST00000219271.3	matrix metallopeptidase 15 (membrane-inserted) 	605	1	1	0	0	2	0	1	1	1	hsa-miR-148a-3p	0.1105	0.5466	1.3953	-0.55	-0.60	0.77	2005, 2007, 2009, 2011
ARRDC3	ENST00000265138.3	arrestin domain containing 3 	1313	2	0	1	1	0	0	0	0	1	hsa-miR-148a-3p	0.1020	0.5856	1.7416	-0.55	-0.55	0.85	2005, 2007, 2009, 2011
CTSA	ENST00000372484.3	cathepsin A 	3915	1	1	0	0	0	0	0	0	0	hsa-miR-148a-3p	0.0855	0.4108	0.8643	-0.54	-0.54	0.36	2009, 2011
USP48	ENST00000400301.1	ubiquitin specific peptidase 48 	3036	1	1	0	0	0	0	0	0	0	hsa-miR-148a-3p	0.1188	0.5006	0.8967	-0.54	-0.54	0.89	2005, 2007, 2009, 2011
CDC14A	ENST00000370125.2	cell division cycle 14A 	123	1	1	0	0	0	0	0	0	1	hsa-miR-148a-3p	0.1655	0.6394	1.3193	-0.54	-0.54	0.69	2009, 2011
ARFIP1	ENST00000451320.2	ADP-ribosylation factor interacting protein 1 	275	1	1	0	0	0	0	0	0	1	hsa-miR-148a-3p	0.1063	0.5083	1.2535	-0.53	-0.53	0.87	2007, 2009, 2011
MTMR9	ENST00000221086.3	myotubularin related protein 9 	400	3	0	3	0	0	0	0	0	0	hsa-miR-148a-3p	0.1245	0.6605	1.9322	-0.53	-0.75	0.97	2009, 2011
KAT7	ENST00000259021.4	K(lysine) acetyltransferase 7 	48	2	1	0	1	0	0	0	0	2	hsa-miR-148a-3p	0.1075	0.5939	1.8258	-0.53	-0.58	0.88	2005, 2007, 2009, 2011
ZNF274	ENST00000326804.4	zinc finger protein 274 	113	1	1	0	0	0	0	0	0	0	hsa-miR-148a-3p	0.1147	0.4995	0.9808	-0.53	-0.53	0.56	2009, 2011
PPP1R10	ENST00000376511.2	protein phosphatase 1, regulatory subunit 10 	893	2	1	1	0	0	0	0	0	0	hsa-miR-148a-3p	0.1386	0.6465	1.5345	-0.53	-0.54	0.87	2011
BAI3	ENST00000370598.1	brain-specific angiogenesis inhibitor 3 	5	1	1	0	0	0	0	0	0	0	hsa-miR-148a-3p	0.1357	0.5595	1.1126	-0.52	-0.52	0.79	2009, 2011
ABCB7	ENST00000253577.3	ATP-binding cassette, sub-family B (MDR/TAP), member 7 	77	1	1	0	0	0	0	0	0	1	hsa-miR-148a-3p	0.1362	0.5442	0.9493	-0.52	-0.55	0.88	2005, 2007, 2009, 2011
MDM4	ENST00000391947.2	Mdm4 p53 binding protein homolog (mouse) 	443	1	0	1	0	2	0	2	0	2	hsa-miR-148a-3p	0.0527	0.3598	1.7980	-0.52	-0.58	0.56	2011
SPRYD7	ENST00000361840.3	SPRY domain containing 7 	863	1	0	1	0	0	0	0	0	0	hsa-miR-148a-3p	0.0722	0.3654	0.8120	-0.52	-0.52	0.81	2009, 2011
PPP6R1	ENST00000412770.2	protein phosphatase 6, regulatory subunit 1 	292	1	1	0	0	0	0	0	0	0	hsa-miR-148a-3p	0.1322	0.5410	1.0068	-0.51	-0.51	0.85	2007, 2009, 2011
C1GALT1	ENST00000223122.3	core 1 synthase, glycoprotein-N-acetylgalactosamine 3-beta-galactosyltransferase, 1 	44	1	1	0	0	1	0	1	0	0	hsa-miR-148a-3p	0.1517	0.6075	1.1889	-0.51	-0.60	0.88	2005, 2007, 2009, 2011
CCDC6	ENST00000263102.6	coiled-coil domain containing 6 	193	1	1	0	0	0	0	0	0	0	hsa-miR-148a-3p	0.0995	0.4595	0.9674	-0.51	-0.51	0.89	2009, 2011
CABP7	ENST00000216144.3	calcium binding protein 7 	12	1	1	0	0	0	0	0	0	0	hsa-miR-148a-3p	0.1022	0.4675	0.9743	-0.51	-0.51	0.81	2007, 2011
PHAX	ENST00000297540.4	phosphorylated adaptor for RNA export 	309	1	1	0	0	0	0	0	0	0	hsa-miR-148a-3p	0.1055	0.4313	0.7510	-0.51	-0.64	0.87	2009, 2011
SNX27	ENST00000368843.3	sorting nexin family member 27 	46	1	0	1	0	1	0	0	1	0	hsa-miR-148a-3p	0.0531	0.3336	1.3014	-0.51	-0.51	0.91	2005, 2007, 2009, 2011
SOS1	ENST00000426016.1	son of sevenless homolog 1 (Drosophila) 	189	1	1	0	0	1	0	0	1	1	hsa-miR-148b-3p	0.1726	0.7083	1.7175	-0.51	-0.51	0.71	2011
SMIM12	ENST00000521580.2	small integral membrane protein 12 	1091	1	0	1	0	2	1	1	0	0	hsa-miR-148a-3p	0.0287	0.1940	0.8906	-0.50	-0.70	0.43	2011
C7orf60	ENST00000297145.4	chromosome 7 open reading frame 60 	39	1	1	0	0	1	0	0	1	0	hsa-miR-148a-3p	0.0733	0.4171	1.3139	-0.50	-0.62	0.61	2005, 2007, 2009, 2011
NRAS	ENST00000369535.4	neuroblastoma RAS viral (v-ras) oncogene homolog 	551	1	1	0	0	0	0	0	0	0	hsa-miR-148a-3p	0.0838	0.4104	0.9171	-0.50	-0.50	0.89	2011
FBXO28	ENST00000424254.2	F-box protein 28 	461	2	0	2	0	0	0	0	0	0	hsa-miR-152-3p	0.0963	0.5483	1.6325	-0.50	-0.56	0.92	2009, 2011
NR2C2AP	ENST00000331552.7	nuclear receptor 2C2-associated protein 	8	1	1	0	0	0	0	0	0	0	hsa-miR-148a-3p	0.0723	0.3727	0.8999	-0.49	-0.49	< 0.1	2007
SESTD1	ENST00000428443.3	SEC14 and spectrin domains 1 	478	1	1	0	0	0	0	0	0	1	hsa-miR-148a-3p	0.1928	0.6466	0.9965	-0.49	-0.50	0.90	2005, 2007, 2009, 2011
FEZ2	ENST00000379245.4	fasciculation and elongation protein zeta 2 (zygin II) 	323	1	1	0	0	0	0	0	0	0	hsa-miR-148a-3p	0.1227	0.4965	0.8744	-0.49	-0.54	0.75	2009, 2011
NPTX1	ENST00000306773.4	neuronal pentraxin I 	1876	1	1	0	0	2	0	2	0	1	hsa-miR-148a-3p	0.2022	0.8122	2.0471	-0.49	-0.51	0.89	2005, 2007, 2009, 2011
NCKIPSD	ENST00000416649.2	NCK interacting protein with SH3 domain 	4158	1	1	0	0	2	1	0	1	1	hsa-miR-148b-3p	0.0835	0.4395	1.1805	-0.49	-0.54	0.22	2009, 2011
DDAH1	ENST00000535924.2	dimethylarginine dimethylaminohydrolase 1 	46	1	1	0	0	1	0	0	1	0	hsa-miR-148a-3p	0.0908	0.4665	1.2030	-0.49	-0.49	< 0.1	2009, 2011
CDK19	ENST00000368911.3	cyclin-dependent kinase 19 	51	2	1	1	0	1	0	1	0	0	hsa-miR-148a-3p	0.1818	0.7431	1.6653	-0.49	-0.87	0.98	2003, 2005, 2007, 2009, 2011
ELAVL4	ENST00000371824.1	ELAV like neuron-specific RNA binding protein 4 	5	2	1	1	0	0	0	0	0	0	hsa-miR-148a-3p	0.1365	0.7016	1.6575	-0.48	-0.48	0.95	NULL
KLF6	ENST00000542957.1	Kruppel-like factor 6 	4644	2	0	2	0	0	0	0	0	0	hsa-miR-148a-3p	0.0552	0.3375	1.1619	-0.48	-0.48	0.73	2011
ERRFI1	ENST00000377482.5	ERBB receptor feedback inhibitor 1 	3807	1	1	0	0	0	0	0	0	0	hsa-miR-148a-3p	0.1239	0.5031	0.9175	-0.48	-0.53	0.83	2007, 2009, 2011
VMP1	ENST00000262291.4	vacuole membrane protein 1 	2505	1	1	0	0	0	0	0	0	0	hsa-miR-148a-3p	0.0598	0.3237	0.8346	-0.48	-0.48	0.66	NULL
FXR1	ENST00000357559.4	fragile X mental retardation, autosomal homolog 1 	434	1	1	0	0	1	1	0	0	0	hsa-miR-148a-3p	0.1569	0.5883	0.9630	-0.48	-0.67	0.90	2009, 2011
SMS	ENST00000404933.2	spermine synthase 	14	1	1	0	0	0	0	0	0	0	hsa-miR-148a-3p	0.0710	0.3640	0.8485	-0.48	-0.48	0.90	2005, 2007, 2009, 2011
BICC1	ENST00000373886.3	bicaudal C homolog 1 (Drosophila) 	165	1	1	0	0	0	0	0	0	1	hsa-miR-148a-3p	0.1810	0.6774	1.3714	-0.48	-0.48	0.86	NULL
EIF4E3	ENST00000425534.3	eukaryotic translation initiation factor 4E family member 3 	475	1	1	0	0	0	0	0	0	0	hsa-miR-148b-3p	0.1231	0.5228	1.0204	-0.48	-0.48	0.88	2009, 2011
MARCH3	ENST00000308660.5	membrane-associated ring finger (C3HC4) 3, E3 ubiquitin protein ligase 	77	2	1	1	0	0	0	0	0	0	hsa-miR-152-3p	0.1016	0.5498	1.5207	-0.48	-0.48	0.84	2007, 2009, 2011
MTF1	ENST00000373036.4	metal-regulatory transcription factor 1 	98	3	1	2	0	0	0	0	0	0	hsa-miR-148a-3p	0.1648	0.7997	2.0535	-0.48	-0.48	> 0.99	2005, 2007, 2009, 2011
KLF5	ENST00000377687.4	Kruppel-like factor 5 (intestinal) 	161	1	1	0	0	0	0	0	0	0	hsa-miR-148a-3p	0.1308	0.5325	0.9512	-0.47	-0.47	0.72	2009, 2011
PNPLA6	ENST00000221249.6	patatin-like phospholipase domain containing 6 	429	1	1	0	0	0	0	0	0	0	hsa-miR-148a-3p	0.0941	0.4484	1.0141	-0.47	-0.47	0.86	2007, 2009, 2011
C3orf58	ENST00000441925.2	chromosome 3 open reading frame 58 	118	1	1	0	0	0	0	0	0	1	hsa-miR-148a-3p	0.0473	0.2807	0.9145	-0.47	-0.47	< 0.1	2011
UCP3	ENST00000314032.4	uncoupling protein 3 (mitochondrial, proton carrier) 	10	1	1	0	0	0	0	0	0	0	hsa-miR-148a-3p	0.0683	0.3586	0.8936	-0.47	-0.47	0.76	2005, 2007, 2009, 2011
INHBB	ENST00000295228.3	inhibin, beta B 	75	1	1	0	0	0	0	0	0	0	hsa-miR-148a-3p	0.1287	0.5218	0.8897	-0.47	-0.47	0.87	2005, 2007, 2009, 2011
MTMR14	ENST00000353332.5	myotubularin related protein 14 	173	1	1	0	0	0	0	0	0	0	hsa-miR-148a-3p	0.0794	0.3896	0.8275	-0.47	-0.47	0.79	2009, 2011
KCNJ6	ENST00000609713.1	potassium inwardly-rectifying channel, subfamily J, member 6 	5	1	0	1	0	5	0	4	1	2	hsa-miR-148a-3p	0.1280	0.8464	3.7955	-0.47	-0.47	0.94	NULL
LRP2	ENST00000263816.3	low density lipoprotein receptor-related protein 2 	56	1	1	0	0	0	0	0	0	0	hsa-miR-148a-3p	0.1423	0.6437	1.7037	-0.47	-0.47	0.84	2009, 2011
SNAP91	ENST00000521485.1	synaptosomal-associated protein, 91kDa 	68	1	1	0	0	0	0	0	0	1	hsa-miR-148a-3p	0.1296	0.5837	1.3858	-0.46	-0.46	0.76	2009, 2011
CAND1	ENST00000545606.1	cullin-associated and neddylation-dissociated 1 	1568	1	1	0	0	1	0	0	1	0	hsa-miR-148a-3p	0.1721	0.6575	1.2961	-0.46	-0.63	0.92	2007, 2009, 2011
HOXC8	ENST00000040584.4	homeobox C8 	5	1	1	0	0	0	0	0	0	0	hsa-miR-148a-3p	0.1615	0.5874	0.9132	-0.46	-0.46	0.89	2005, 2007, 2009, 2011
NRP1	ENST00000374875.1	neuropilin 1 	586	1	1	0	0	1	0	1	0	2	hsa-miR-148a-3p	0.1111	0.5011	1.0905	-0.46	-0.64	0.87	2005, 2007, 2009, 2011
TMEM170A	ENST00000357613.4	transmembrane protein 170A 	70	1	1	0	0	0	0	0	0	0	hsa-miR-148a-3p	0.0561	0.3149	0.9069	-0.46	-0.46	< 0.1	NULL
USP33	ENST00000370794.3	ubiquitin specific peptidase 33 	287	1	0	1	0	1	0	1	0	0	hsa-miR-148a-3p	0.0485	0.3087	1.1716	-0.46	-0.46	0.76	2005, 2007, 2009, 2011
C7orf71	ENST00000409974.3	chromosome 7 open reading frame 71 	5	1	1	0	0	0	0	0	0	0	hsa-miR-148a-3p	0.0430	0.2491	0.7102	-0.46	-0.46	< 0.1	2011
ADAMTS5	ENST00000284987.5	ADAM metallopeptidase with thrombospondin type 1 motif, 5 	68	2	0	1	1	1	0	0	1	1	hsa-miR-148a-3p	0.1016	0.6147	2.1778	-0.46	-0.48	0.96	2007, 2009, 2011
PLAA	ENST00000397292.3	phospholipase A2-activating protein 	416	1	0	1	0	2	0	1	1	1	hsa-miR-148a-3p	0.0574	0.3514	1.2465	-0.45	-0.56	0.93	2005, 2007, 2009, 2011
SRSF11	ENST00000370950.3	serine/arginine-rich splicing factor 11 	1201	1	1	0	0	1	0	1	0	0	hsa-miR-148a-3p	0.1077	0.4894	1.0443	-0.45	-0.51	0.81	2005, 2007, 2009, 2011
ZNF618	ENST00000288466.7	zinc finger protein 618 	778	2	0	1	1	0	0	0	0	1	hsa-miR-148a-3p	0.0867	0.5341	2.0658	-0.45	-0.46	0.97	2007, 2009, 2011
MAP3K9	ENST00000554752.2	mitogen-activated protein kinase kinase kinase 9 	44	1	1	0	0	1	0	0	1	1	hsa-miR-148a-3p	0.1948	0.7227	1.5928	-0.45	-0.47	0.90	2005, 2007, 2009, 2011
BTBD3	ENST00000254977.3	BTB (POZ) domain containing 3 	3798	1	1	0	0	0	0	0	0	0	hsa-miR-148a-3p	0.1287	0.5040	0.8444	-0.45	-0.49	0.89	2005, 2007, 2009, 2011
RGMA	ENST00000557420.1	RGM domain family, member A 	145	1	1	0	0	0	0	0	0	0	hsa-miR-148a-3p	0.1653	0.5933	0.9743	-0.45	-0.47	0.80	2005, 2007, 2009, 2011
TMSB4X	ENST00000451311.2	thymosin beta 4, X-linked 	5	1	0	1	0	0	0	0	0	0	hsa-miR-148a-3p	0.0234	0.1502	0.5664	-0.45	-0.45	0.51	2007, 2009, 2011
FAM73B	ENST00000277475.5	family with sequence similarity 73, member B 	651	1	0	1	0	2	1	1	0	0	hsa-miR-148b-3p	0.0495	0.3308	1.4817	-0.45	-0.45	0.16	2009, 2011
TMEM52B	ENST00000298530.3	transmembrane protein 52B 	11	1	1	0	0	0	0	0	0	1	hsa-miR-148a-3p	0.0653	0.3724	1.1736	-0.45	-0.45	< 0.1	2009, 2011
AC135178.1	ENST00000535173.1	HCG1985372; Uncharacterized protein; cDNA FLJ37541 fis, clone BRCAN2026340  	13	1	1	0	0	2	1	0	1	0	hsa-miR-148a-3p	0.0413	0.2419	0.7114	-0.45	-1.17	< 0.1	NULL
ROBO1	ENST00000436010.2	roundabout, axon guidance receptor, homolog 1 (Drosophila) 	546	2	0	2	0	0	0	0	0	0	hsa-miR-148a-3p	0.0930	0.4935	1.4153	-0.45	-0.45	0.94	2005, 2007, 2009, 2011
CYB5R4	ENST00000369681.5	cytochrome b5 reductase 4 	329	1	0	1	0	0	0	0	0	0	hsa-miR-148a-3p	0.0549	0.2992	0.7528	-0.45	-0.45	0.90	2007, 2011
LIPA	ENST00000336233.5	lipase A, lysosomal acid, cholesterol esterase 	1793	1	1	0	0	0	0	0	0	0	hsa-miR-148a-3p	0.0750	0.3998	1.1512	-0.44	-0.47	< 0.1	2009, 2011
