Target gene	Representative transcript	Gene name	3P-seq tags + 5	Total sites	8mer sites	7mer-m8 sites	7mer-A1 sites	6mer sites	Representative miRNA	Predicted occupancy (low miRNA)	Predicted occupancy (high miRNA)	Predicted occupancy (transfected miRNA)	Cumulative weighted context++ score	Total context++ score	Aggregate PCT
MEIS2	ENST00000397624.3	Meis homeobox 2 	63	2	1	1	0	0	hsa-miR-6862-5p				-0.61	-0.61	N/A
WFDC8	ENST00000357199.4	WAP four-disulfide core domain 8 	5	1	1	0	0	0	hsa-miR-4253				-0.61	-0.61	N/A
AC005481.5	ENST00000409610.1	Uncharacterized protein  	5	3	1	0	2	7	hsa-miR-6862-5p				-0.61	-0.61	N/A
RASGRP4	ENST00000586305.1	RAS guanyl releasing protein 4 	5	2	1	1	0	0	hsa-miR-6862-5p				-0.61	-0.61	N/A
CCDC172	ENST00000333254.3	coiled-coil domain containing 172 	5	1	1	0	0	1	hsa-miR-6862-5p				-0.60	-0.60	N/A
RP1-139D8.6	ENST00000372963.1		5	1	1	0	0	0	hsa-miR-6862-5p				-0.60	-0.60	N/A
SAMD15	ENST00000216471.4	sterile alpha motif domain containing 15 	5	1	1	0	0	0	hsa-miR-6862-5p				-0.60	-0.60	N/A
SLC22A9	ENST00000310969.4	solute carrier family 22 (organic anion transporter), member 9 	188	1	1	0	0	0	hsa-miR-6862-5p				-0.60	-0.60	N/A
CALCOCO1	ENST00000548263.1	calcium binding and coiled-coil domain 1 	68	1	1	0	0	3	hsa-miR-6862-5p				-0.59	-0.67	N/A
ZBED3	ENST00000255198.2	zinc finger, BED-type containing 3 	399	2	1	0	1	1	hsa-miR-4253				-0.59	-0.60	N/A
AMOTL2	ENST00000249883.5	angiomotin like 2 	78	3	1	1	1	0	hsa-miR-4253				-0.59	-0.59	N/A
SPN	ENST00000360121.3	sialophorin 	5	3	2	1	0	0	hsa-miR-4253				-0.59	-0.59	N/A
C9orf85	ENST00000486911.2	chromosome 9 open reading frame 85 	57	2	1	0	1	0	hsa-miR-4253				-0.59	-0.79	N/A
GDPD5	ENST00000443276.2	glycerophosphodiester phosphodiesterase domain containing 5 	8	2	1	1	0	1	hsa-miR-4253				-0.59	-0.59	N/A
LGI2	ENST00000382114.4	leucine-rich repeat LGI family, member 2 	32	4	1	1	2	0	hsa-miR-4253				-0.58	-0.70	N/A
TMEM179B	ENST00000533861.1	transmembrane protein 179B 	930	1	1	0	0	0	hsa-miR-6862-5p				-0.58	-0.58	N/A
TMBIM1	ENST00000258412.3	transmembrane BAX inhibitor motif containing 1 	2201	1	1	0	0	0	hsa-miR-4253				-0.57	-0.57	N/A
DENND3	ENST00000519811.1	DENN/MADD domain containing 3 	926	1	1	0	0	0	hsa-miR-6862-5p				-0.57	-0.60	N/A
PDCD1	ENST00000334409.5	programmed cell death 1 	5	2	1	0	1	0	hsa-miR-6862-5p				-0.57	-0.57	N/A
AIFM1	ENST00000535724.1	apoptosis-inducing factor, mitochondrion-associated, 1 	2582	3	1	1	1	0	hsa-miR-4253				-0.57	-0.81	N/A
WNT4	ENST00000290167.6	wingless-type MMTV integration site family, member 4 	5	4	1	2	1	2	hsa-miR-6862-5p				-0.57	-0.57	N/A
DLEC1	ENST00000308059.6	deleted in lung and esophageal cancer 1 	5	3	0	1	2	1	hsa-miR-6862-5p				-0.57	-0.57	N/A
ZDHHC19	ENST00000296326.3	zinc finger, DHHC-type containing 19 	8	2	0	0	2	0	hsa-miR-4253				-0.57	-0.57	N/A
OR51E1	ENST00000396952.5	olfactory receptor, family 51, subfamily E, member 1 	5	1	1	0	0	0	hsa-miR-6862-5p				-0.57	-0.57	N/A
C10orf105	ENST00000441508.2	chromosome 10 open reading frame 105 	5	2	1	1	0	0	hsa-miR-6862-5p				-0.56	-0.56	N/A
PREPL	ENST00000541738.1	prolyl endopeptidase-like 	612	2	1	1	0	0	hsa-miR-6862-5p				-0.56	-0.61	N/A
C14orf132	ENST00000555004.1	chromosome 14 open reading frame 132 	217	2	1	0	1	0	hsa-miR-4253				-0.56	-0.56	N/A
CYCS	ENST00000305786.2	cytochrome c, somatic 	320	2	2	0	0	0	hsa-miR-4253				-0.56	-0.62	N/A
ZNF20	ENST00000334213.5	zinc finger protein 20 	119	2	1	0	1	0	hsa-miR-6862-5p				-0.56	-0.72	N/A
SLC5A8	ENST00000536262.2	solute carrier family 5 (sodium/monocarboxylate cotransporter), member 8 	5	2	1	1	0	0	hsa-miR-4253				-0.56	-0.56	N/A
ERMP1	ENST00000381506.3	endoplasmic reticulum metallopeptidase 1 	53	2	1	1	0	0	hsa-miR-6862-5p				-0.55	-0.62	N/A
POLR2J3	ENST00000379357.5	polymerase (RNA) II (DNA directed) polypeptide J3 	6	1	1	0	0	1	hsa-miR-6862-5p				-0.55	-0.55	N/A
SLC30A2	ENST00000374278.3	solute carrier family 30 (zinc transporter), member 2 	5	2	1	1	0	0	hsa-miR-6862-5p				-0.55	-0.55	N/A
ATN1	ENST00000356654.4	atrophin 1 	187	1	1	0	0	1	hsa-miR-6862-5p				-0.55	-0.55	N/A
LYNX1	ENST00000395192.2	Ly6/neurotoxin 1 	5	4	1	2	1	1	hsa-miR-4253				-0.55	-0.55	N/A
ZNF493	ENST00000339914.6	zinc finger protein 493 	11	1	1	0	0	1	hsa-miR-4253				-0.55	-0.55	N/A
UPK3BL	ENST00000340457.8	uroplakin 3B-like 	5	1	1	0	0	1	hsa-miR-6862-5p				-0.55	-0.55	N/A
NCR3LG1	ENST00000338965.4	natural killer cell cytotoxicity receptor 3 ligand 1 	214	7	1	2	4	0	hsa-miR-6862-5p				-0.55	-0.56	N/A
ERLIN2	ENST00000276461.5	ER lipid raft associated 2 	887	3	3	0	0	0	hsa-miR-6862-5p				-0.55	-0.66	N/A
EFHD2	ENST00000375980.4	EF-hand domain family, member D2 	1411	2	1	0	1	0	hsa-miR-4253				-0.54	-0.54	N/A
CDKN1C	ENST00000414822.3	cyclin-dependent kinase inhibitor 1C (p57, Kip2) 	328	1	1	0	0	0	hsa-miR-6862-5p				-0.54	-0.55	N/A
ZNF124	ENST00000340684.6	zinc finger protein 124 	109	2	1	0	1	0	hsa-miR-4253				-0.54	-0.56	N/A
AADACL3	ENST00000332530.3	arylacetamide deacetylase-like 3 	5	3	2	1	0	0	hsa-miR-4253				-0.54	-0.54	N/A
SLC5A5	ENST00000222248.3	solute carrier family 5 (sodium/iodide cotransporter), member 5 	5	2	2	0	0	0	hsa-miR-4253				-0.54	-0.54	N/A
SNRNP25	ENST00000383018.3	small nuclear ribonucleoprotein 25kDa (U11/U12) 	809	1	1	0	0	1	hsa-miR-4253				-0.54	-0.54	N/A
ZKSCAN7	ENST00000341840.3	zinc finger with KRAB and SCAN domains 7 	29	1	1	0	0	0	hsa-miR-4253				-0.53	-0.53	N/A
CD69	ENST00000228434.3	CD69 molecule 	5	1	1	0	0	0	hsa-miR-4253				-0.53	-0.53	N/A
TCOF1	ENST00000323668.7	Treacher Collins-Franceschetti syndrome 1 	325	1	1	0	0	0	hsa-miR-4253				-0.53	-0.53	N/A
GABRE	ENST00000370325.1	gamma-aminobutyric acid (GABA) A receptor, epsilon 	6	2	0	2	0	1	hsa-miR-4253				-0.53	-0.53	N/A
TRABD2A	ENST00000409133.1	TraB domain containing 2A 	94	2	1	1	0	0	hsa-miR-6862-5p				-0.53	-0.54	N/A
GFI1B	ENST00000450530.1	growth factor independent 1B transcription repressor 	5	1	1	0	0	0	hsa-miR-6862-5p				-0.53	-0.53	N/A
CAPNS1	ENST00000587718.1	calpain, small subunit 1 	2973	2	0	2	0	0	hsa-miR-6862-5p				-0.53	-0.53	N/A
TMEM233	ENST00000426426.1	transmembrane protein 233 	5	1	1	0	0	0	hsa-miR-6862-5p				-0.52	-0.52	N/A
POLR2J2	ENST00000591000.1	DNA-directed RNA polymerase II subunit RPB11-b1  	5	1	1	0	0	1	hsa-miR-6862-5p				-0.52	-0.52	N/A
LYPLA1	ENST00000316963.3	lysophospholipase I 	57	3	3	0	0	0	hsa-miR-4253				-0.52	-1.05	N/A
MOG	ENST00000376902.3	myelin oligodendrocyte glycoprotein 	5	1	1	0	0	0	hsa-miR-6862-5p				-0.52	-0.52	N/A
SYNDIG1L	ENST00000331628.3	synapse differentiation inducing 1-like 	7	2	1	1	0	0	hsa-miR-4253				-0.52	-0.52	N/A
RP11-676J12.7	ENST00000576252.1	Uncharacterized protein  	5	1	0	1	0	0	hsa-miR-4253				-0.52	-0.52	N/A
GJB4	ENST00000339480.1	gap junction protein, beta 4, 30.3kDa 	5	2	0	1	1	2	hsa-miR-4253				-0.52	-0.52	N/A
CKAP4	ENST00000378026.4	cytoskeleton-associated protein 4 	1923	1	1	0	0	0	hsa-miR-6862-5p				-0.51	-0.51	N/A
CD200R1	ENST00000471858.1	CD200 receptor 1 	6	1	1	0	0	0	hsa-miR-6862-5p				-0.51	-0.51	N/A
KY	ENST00000508956.1	kyphoscoliosis peptidase 	5	2	1	1	0	1	hsa-miR-6862-5p				-0.51	-0.53	N/A
ZNF169	ENST00000481550.2	zinc finger protein 169 	12	1	1	0	0	0	hsa-miR-4253				-0.51	-0.51	N/A
ATP5SL	ENST00000590641.2	ATP5S-like 	74	1	1	0	0	0	hsa-miR-6862-5p				-0.51	-0.51	N/A
TBC1D3F	ENST00000378174.5	TBC1 domain family, member 3F 	5	2	1	1	0	0	hsa-miR-6862-5p				-0.51	-0.51	N/A
ZNF93	ENST00000343769.5	zinc finger protein 93 	5	2	0	1	1	0	hsa-miR-6862-5p				-0.51	-0.51	N/A
ZNF589	ENST00000427617.2	zinc finger protein 589 	20	3	1	1	1	1	hsa-miR-4253				-0.51	-0.73	N/A
TBC1D3	ENST00000339023.4	TBC1 domain family, member 3 	5	2	1	1	0	0	hsa-miR-6862-5p				-0.51	-0.51	N/A
RBM14	ENST00000393979.3	RNA binding motif protein 14 	3993	3	0	1	2	0	hsa-miR-4253				-0.51	-0.61	N/A
TMEM41B	ENST00000528080.1	transmembrane protein 41B 	191	3	1	0	2	1	hsa-miR-4253				-0.51	-0.54	N/A
CINP	ENST00000541568.2	cyclin-dependent kinase 2 interacting protein 	2407	1	1	0	0	0	hsa-miR-6862-5p				-0.51	-0.51	N/A
GCK	ENST00000403799.3	glucokinase (hexokinase 4) 	5	1	1	0	0	0	hsa-miR-6862-5p				-0.51	-0.51	N/A
MLC1	ENST00000395876.2	megalencephalic leukoencephalopathy with subcortical cysts 1 	5	3	3	0	0	0	hsa-miR-4253				-0.51	-0.51	N/A
SLA	ENST00000338087.5	Src-like-adaptor 	5	1	1	0	0	0	hsa-miR-4253				-0.51	-0.51	N/A
ABHD14B	ENST00000461108.1	abhydrolase domain containing 14B 	189	1	1	0	0	1	hsa-miR-4253				-0.50	-0.52	N/A
ERMN	ENST00000410096.1	ermin, ERM-like protein 	5	1	1	0	0	1	hsa-miR-6862-5p				-0.50	-0.50	N/A
RASD2	ENST00000216127.4	RASD family, member 2 	10	2	1	0	1	0	hsa-miR-4253				-0.50	-0.50	N/A
RNF151	ENST00000569210.2	ring finger protein 151 	5	2	0	2	0	0	hsa-miR-4253				-0.50	-0.50	N/A
RTBDN	ENST00000589272.1	retbindin 	5	1	1	0	0	0	hsa-miR-4253				-0.49	-0.49	N/A
PPP1R3E	ENST00000452015.4	protein phosphatase 1, regulatory subunit 3E 	77	2	1	0	1	1	hsa-miR-4253				-0.49	-0.57	N/A
BAAT	ENST00000259407.2	bile acid CoA: amino acid N-acyltransferase (glycine N-choloyltransferase) 	5	1	1	0	0	1	hsa-miR-6862-5p				-0.48	-0.48	N/A
C7orf13	ENST00000333319.6	chromosome 7 open reading frame 13 	14	1	1	0	0	0	hsa-miR-6862-5p				-0.48	-0.48	N/A
C1orf220	ENST00000319387.2	chromosome 1 open reading frame 220 	5	1	0	1	0	1	hsa-miR-6862-5p				-0.48	-0.48	N/A
CAMK4	ENST00000282356.4	calcium/calmodulin-dependent protein kinase IV 	73	4	3	0	1	0	hsa-miR-6862-5p				-0.48	-1.08	N/A
RHOXF2B	ENST00000371402.2	Rhox homeobox family, member 2B 	5	1	1	0	0	0	hsa-miR-6862-5p				-0.48	-0.48	N/A
DAK	ENST00000394900.3	dihydroxyacetone kinase 2 homolog (S. cerevisiae) 	242	2	0	2	0	0	hsa-miR-6862-5p				-0.48	-0.48	N/A
PGM1	ENST00000371084.3	phosphoglucomutase 1 	612	1	0	1	0	1	hsa-miR-4253				-0.48	-0.48	N/A
C11orf21	ENST00000381153.3	chromosome 11 open reading frame 21 	5	1	1	0	0	1	hsa-miR-4253				-0.48	-0.48	N/A
DTD2	ENST00000310850.4	D-tyrosyl-tRNA deacylase 2 (putative) 	924	1	1	0	0	0	hsa-miR-4253				-0.48	-0.48	N/A
WDR55	ENST00000358337.5	WD repeat domain 55 	251	5	2	1	2	0	hsa-miR-6862-5p				-0.48	-0.52	N/A
PM20D2	ENST00000275072.4	peptidase M20 domain containing 2 	2171	2	1	1	0	0	hsa-miR-4253				-0.48	-0.48	N/A
LPHN2	ENST00000370715.1	latrophilin 2 	407	1	1	0	0	0	hsa-miR-6862-5p				-0.48	-0.48	N/A
SHISA9	ENST00000558583.1	shisa family member 9 	5	2	1	1	0	0	hsa-miR-6862-5p				-0.48	-0.48	N/A
ADCY6	ENST00000357869.3	adenylate cyclase 6 	6	3	0	2	1	0	hsa-miR-4253				-0.48	-0.48	N/A
NKAIN4	ENST00000370316.3	Na+/K+ transporting ATPase interacting 4 	5	1	1	0	0	0	hsa-miR-4253				-0.48	-0.48	N/A
SLC25A29	ENST00000392908.3	solute carrier family 25 (mitochondrial carnitine/acylcarnitine carrier), member 29 	1101	1	1	0	0	0	hsa-miR-4253				-0.48	-0.48	N/A
RRAGC	ENST00000373001.3	Ras-related GTP binding C 	1062	2	1	0	1	0	hsa-miR-6862-5p				-0.48	-0.58	N/A
RDH13	ENST00000415061.3	retinol dehydrogenase 13 (all-trans/9-cis) 	35	5	0	4	1	0	hsa-miR-4253				-0.48	-0.54	N/A
ASPA	ENST00000263080.2	aspartoacylase 	5	3	1	0	2	0	hsa-miR-4253				-0.47	-0.47	N/A
MBD3	ENST00000590550.2	methyl-CpG binding domain protein 3 	393	2	1	1	0	2	hsa-miR-6862-5p				-0.47	-0.52	N/A
CHST6	ENST00000332272.4	carbohydrate (N-acetylglucosamine 6-O) sulfotransferase 6 	37	3	3	0	0	1	hsa-miR-4253				-0.47	-0.56	N/A
C21orf128	ENST00000329015.2	chromosome 21 open reading frame 128 	5	2	1	1	0	0	hsa-miR-4253				-0.47	-0.47	N/A
ACOT11	ENST00000343744.2	acyl-CoA thioesterase 11 	36	1	1	0	0	1	hsa-miR-4253				-0.47	-0.47	N/A
NUP98	ENST00000359171.4	nucleoporin 98kDa 	371	1	1	0	0	0	hsa-miR-6862-5p				-0.47	-0.47	N/A
MB	ENST00000401702.1	myoglobin 	5	1	1	0	0	1	hsa-miR-6862-5p				-0.47	-0.50	N/A
DEFB132	ENST00000382376.3	defensin, beta 132 	5	2	0	0	2	0	hsa-miR-6862-5p				-0.47	-0.47	N/A
ZNF557	ENST00000414706.1	zinc finger protein 557 	294	3	1	2	0	0	hsa-miR-4253				-0.47	-0.47	N/A
ZBTB8OS	ENST00000373501.2	zinc finger and BTB domain containing 8 opposite strand 	74	3	0	3	0	0	hsa-miR-4253				-0.47	-0.60	N/A
STK3	ENST00000419617.2	serine/threonine kinase 3 	25	1	1	0	0	0	hsa-miR-6862-5p				-0.47	-0.47	N/A
TBC1D3H	ENST00000394359.3	TBC1 domain family, member 3H 	5	1	1	0	0	0	hsa-miR-4253				-0.47	-0.47	N/A
SLC29A1	ENST00000393844.1	solute carrier family 29 (equilibrative nucleoside transporter), member 1 	678	3	1	2	0	1	hsa-miR-6862-5p				-0.46	-0.66	N/A
TREH	ENST00000529101.1	trehalase (brush-border membrane glycoprotein) 	5	2	0	1	1	0	hsa-miR-4253				-0.46	-0.46	N/A
SLC41A3	ENST00000360370.4	solute carrier family 41, member 3 	693	1	1	0	0	0	hsa-miR-6862-5p				-0.46	-0.46	N/A
KLF12	ENST00000377669.2	Kruppel-like factor 12 	251	3	1	1	1	0	hsa-miR-6862-5p				-0.46	-0.49	N/A
RHOJ	ENST00000316754.3	ras homolog family member J 	118	2	0	2	0	1	hsa-miR-4253				-0.46	-0.55	N/A
PRNT	ENST00000418528.1	prion protein (testis specific) 	5	2	0	0	2	0	hsa-miR-6862-5p				-0.46	-0.46	N/A
OSGEPL1	ENST00000519810.1	O-sialoglycoprotein endopeptidase-like 1 	71	1	1	0	0	0	hsa-miR-6862-5p				-0.46	-0.46	N/A
DDA1	ENST00000359866.4	DET1 and DDB1 associated 1 	76	2	1	1	0	1	hsa-miR-6862-5p				-0.46	-0.49	N/A
C12orf74	ENST00000544406.2	chromosome 12 open reading frame 74 	5	1	1	0	0	0	hsa-miR-6862-5p				-0.46	-0.46	N/A
TWIST2	ENST00000448943.2	twist basic helix-loop-helix transcription factor 2 	5	1	1	0	0	0	hsa-miR-6862-5p				-0.46	-0.46	N/A
NOV	ENST00000259526.3	nephroblastoma overexpressed 	44	1	1	0	0	0	hsa-miR-6862-5p				-0.46	-0.46	N/A
TBC1D3B	ENST00000454519.3	TBC1 domain family, member 3B 	5	1	1	0	0	0	hsa-miR-4253				-0.46	-0.46	N/A
FBP2	ENST00000375337.3	fructose-1,6-bisphosphatase 2 	5	1	0	1	0	0	hsa-miR-4253				-0.46	-0.46	N/A
AC138655.1	ENST00000601243.1	CDNA: FLJ23120 fis, clone LNG07989; HCG1987724; Uncharacterized protein  	5	1	1	0	0	0	hsa-miR-6862-5p				-0.45	-0.45	N/A
VWA1	ENST00000338660.5	von Willebrand factor A domain containing 1 	145	1	1	0	0	1	hsa-miR-4253				-0.45	-0.49	N/A
TRIM6	ENST00000278302.5	tripartite motif containing 6 	302	1	1	0	0	0	hsa-miR-4253				-0.45	-0.45	N/A
TUBG2	ENST00000251412.7	tubulin, gamma 2 	1587	1	0	1	0	0	hsa-miR-6862-5p				-0.45	-0.45	N/A
C17orf53	ENST00000245382.6	chromosome 17 open reading frame 53 	12	1	1	0	0	0	hsa-miR-6862-5p				-0.45	-0.45	N/A
BBS1	ENST00000393994.2	Bardet-Biedl syndrome 1 	523	2	1	0	1	2	hsa-miR-4253				-0.45	-0.46	N/A
RHOC	ENST00000339083.7	ras homolog family member C 	10314	1	0	1	0	1	hsa-miR-4253				-0.45	-0.45	N/A
